taiObs,visit,dataType,scale,rate
2021-01-25 08:31:41.276,24243,DARK,485.5,48.55
2021-01-26 11:53:14.941,24272,COMPARISON,0.2,0.039
2021-01-26 11:54:27.585,24273,COMPARISON,21.1,4.008
2021-04-01 09:38:30.640,24440,COMPARISON,6285.3,6291.56
2021-04-08 16:52:03.450,24532,DARK,0.2,0.001
2022-04-15 13:01:18.262,34151,TEST,0.0,0.0
2022-04-25 13:17:09.925,34178,COMPARISON,7.9,0.53
2022-04-25 13:18:23.675,34179,COMPARISON,7.8,0.519
2022-04-25 13:19:37.625,34180,COMPARISON,8.1,0.539
2022-04-25 13:20:51.380,34181,COMPARISON,7.5,0.499
2022-04-25 13:22:05.236,34182,COMPARISON,8.1,0.543
2022-04-25 13:23:19.188,34183,COMPARISON,8.6,0.572
2022-04-25 13:24:33.048,34184,COMPARISON,9.8,0.651
2022-04-25 13:25:47.007,34185,COMPARISON,10.3,0.688
2022-04-25 13:27:01.057,34186,COMPARISON,7.5,0.499
2022-04-25 13:28:15.799,34187,COMPARISON,7.9,0.529
2022-04-25 13:29:32.044,34188,COMPARISON,8.1,0.541
2022-04-25 13:30:45.891,34189,COMPARISON,8.1,0.538
2022-04-25 13:32:00.937,34190,COMPARISON,7.7,0.514
2022-04-25 13:33:15.784,34191,COMPARISON,8.0,0.531
2022-04-25 13:34:31.134,34192,COMPARISON,8.2,0.544
2022-04-25 13:35:45.782,34193,COMPARISON,8.4,0.558
2022-04-25 13:37:01.024,34194,COMPARISON,8.3,0.552
2022-04-25 13:38:15.564,34195,COMPARISON,8.2,0.549
2022-04-25 13:39:32.911,34196,COMPARISON,8.0,0.531
2022-04-25 13:40:46.953,34197,COMPARISON,8.0,0.533
2022-04-25 16:14:58.851,34201,COMPARISON,26.5,0.59
2022-04-25 16:16:42.562,34202,COMPARISON,26.4,0.587
2022-04-25 16:18:26.665,34203,COMPARISON,26.3,0.583
2022-04-25 16:20:10.582,34204,COMPARISON,27.6,0.614
2022-04-25 16:21:54.399,34205,COMPARISON,27.9,0.621
2022-04-25 16:23:38.133,34206,COMPARISON,27.2,0.605
2022-04-25 16:25:21.979,34207,COMPARISON,27.1,0.603
2022-04-25 16:27:05.716,34208,COMPARISON,27.5,0.612
2022-04-25 16:28:49.648,34209,COMPARISON,29.0,0.644
2022-04-25 16:30:33.597,34210,COMPARISON,28.6,0.635
2022-04-25 16:32:17.640,34211,COMPARISON,29.1,0.647
2022-04-25 16:34:02.790,34212,COMPARISON,30.1,0.669
2022-04-25 16:35:47.724,34213,COMPARISON,30.5,0.678
2022-04-25 16:37:32.659,34214,COMPARISON,32.9,0.732
2022-04-25 16:39:17.503,34215,COMPARISON,33.9,0.754
2022-04-25 16:41:02.655,34216,COMPARISON,36.3,0.806
2022-04-25 16:42:47.502,34217,COMPARISON,37.5,0.834
2022-04-25 16:44:32.666,34218,COMPARISON,37.4,0.83
2022-04-25 16:46:17.725,34219,COMPARISON,42.3,0.94
2022-04-25 16:48:02.867,34220,COMPARISON,43.4,0.965
2022-04-25 16:50:41.751,34221,COMPARISON,2.2,0.742
2022-04-25 16:51:43.979,34222,COMPARISON,2.3,0.76
2022-04-25 16:52:45.817,34223,COMPARISON,2.2,0.721
2022-04-25 16:53:47.552,34224,COMPARISON,2.2,0.742
2022-04-25 16:54:49.382,34225,COMPARISON,2.3,0.776
2022-04-25 16:55:51.420,34226,COMPARISON,2.3,0.768
2022-04-25 16:56:53.257,34227,COMPARISON,2.4,0.786
2022-04-25 16:57:56.488,34228,COMPARISON,2.6,0.865
2022-04-25 16:58:58.517,34229,COMPARISON,2.4,0.812
2022-04-25 17:00:00.243,34230,COMPARISON,2.5,0.821
2022-04-25 17:01:02.174,34231,COMPARISON,2.3,0.772
2022-04-25 17:02:04.104,34232,COMPARISON,2.5,0.841
2022-04-25 17:03:05.938,34233,COMPARISON,2.3,0.77
2022-04-25 17:04:07.664,34234,COMPARISON,2.4,0.794
2022-04-25 17:05:09.392,34235,COMPARISON,2.4,0.793
2022-04-25 17:06:13.316,34236,COMPARISON,2.4,0.801
2022-04-25 17:07:15.038,34237,COMPARISON,2.4,0.785
2022-04-25 17:08:16.860,34238,COMPARISON,2.3,0.775
2022-04-25 17:09:18.589,34239,COMPARISON,2.4,0.791
2022-04-25 17:10:20.510,34240,COMPARISON,2.4,0.809
2022-04-25 17:13:52.234,34241,DARK,462.1,1.54
2022-04-25 17:19:48.108,34242,DARK,679.4,2.265
2022-04-25 17:25:44.152,34243,DARK,816.5,2.722
2022-04-25 17:31:40.060,34244,DARK,1132.3,3.774
2022-04-25 17:37:36.034,34245,DARK,1337.8,4.459
2022-04-25 17:43:31.912,34246,DARK,1259.0,4.197
2022-04-25 17:49:27.805,34247,DARK,1083.9,3.613
2022-04-25 17:55:23.758,34248,DARK,1041.5,3.472
2022-04-25 18:01:19.624,34249,DARK,1099.0,3.663
2022-04-25 18:07:15.755,34250,DARK,1054.0,3.513
2022-04-25 18:13:11.617,34251,DARK,1064.9,3.55
2022-04-25 18:19:07.588,34252,DARK,1089.4,3.631
2022-04-25 18:25:03.663,34253,DARK,1255.2,4.184
2022-04-25 18:30:59.586,34254,DARK,1161.6,3.872
2022-04-25 18:36:55.525,34255,DARK,1165.2,3.884
2022-04-25 22:25:16.271,34256,DARK,1121.8,3.739
2022-04-25 22:31:12.240,34257,DARK,1145.2,3.817
2022-04-25 22:37:08.179,34258,DARK,1092.3,3.641
2022-04-25 22:43:04.123,34259,DARK,1028.5,3.428
2022-04-25 22:49:00.039,34260,DARK,946.3,3.154
2022-04-25 22:54:56.152,34261,DARK,850.3,2.834
2022-04-25 23:00:52.024,34262,DARK,948.4,3.161
2022-04-25 23:06:48.029,34263,DARK,1041.4,3.471
2022-04-25 23:12:43.855,34264,DARK,1093.2,3.644
2022-04-25 23:18:39.855,34265,DARK,1046.0,3.487
2022-04-25 23:24:35.794,34266,DARK,964.8,3.216
2022-04-25 23:30:31.902,34267,DARK,962.3,3.208
2022-04-25 23:36:28.106,34268,DARK,891.5,2.972
2022-04-25 23:42:23.938,34269,DARK,979.9,3.266
2022-04-25 23:48:19.863,34270,DARK,868.5,2.895
2022-04-26 09:08:23.163,34271,COMPARISON,112.2,111.503
2022-04-26 11:39:38.295,34272,COMPARISON,2.6,2.581
2022-04-26 11:47:00.616,34273,COMPARISON,25.0,8.323
2022-04-26 11:48:02.414,34274,COMPARISON,24.8,8.247
2022-04-26 11:49:05.417,34275,COMPARISON,25.0,8.327
2022-04-26 11:50:07.223,34276,COMPARISON,25.2,8.375
2022-04-26 11:51:09.014,34277,COMPARISON,25.2,8.385
2022-04-26 11:52:10.813,34278,COMPARISON,25.1,8.355
2022-04-26 11:53:12.616,34279,COMPARISON,25.5,8.476
2022-04-26 11:54:14.619,34280,COMPARISON,25.9,8.61
2022-04-26 11:55:16.518,34281,COMPARISON,25.3,8.427
2022-04-26 11:56:18.315,34282,COMPARISON,25.6,8.51
2022-04-26 11:57:20.811,34283,COMPARISON,26.0,8.645
2022-04-26 11:58:22.709,34284,COMPARISON,26.6,8.844
2022-04-26 11:59:24.705,34285,COMPARISON,26.2,8.736
2022-04-26 12:00:26.500,34286,COMPARISON,26.4,8.796
2022-04-26 12:01:28.293,34287,COMPARISON,26.6,8.864
2022-04-26 12:02:30.291,34288,COMPARISON,26.6,8.861
2022-04-26 12:03:32.090,34289,COMPARISON,26.6,8.858
2022-04-26 12:04:35.281,34290,COMPARISON,26.4,8.791
2022-04-26 12:05:37.173,34291,COMPARISON,26.0,8.636
2022-04-26 12:06:38.974,34292,COMPARISON,25.8,8.588
2022-04-26 12:12:17.274,34293,COMPARISON,17.6,17.481
2022-04-26 12:13:17.168,34294,COMPARISON,17.4,17.343
2022-04-26 12:14:16.870,34295,COMPARISON,17.2,17.135
2022-04-26 12:15:16.682,34296,COMPARISON,17.4,17.317
2022-04-26 12:16:16.494,34297,COMPARISON,17.4,17.299
2022-04-26 12:17:16.296,34298,COMPARISON,17.4,17.448
2022-04-26 12:18:16.106,34299,COMPARISON,17.3,17.201
2022-04-26 12:19:15.924,34300,COMPARISON,17.6,17.451
2022-04-26 12:20:15.740,34301,COMPARISON,17.5,17.37
