visit,taiObs,dataType,scale,rate
35935,2022-05-16T12:56:43.388,COMPARISON,6.2,2.069
34367,2022-04-26T16:22:43.701,COMPARISON,47.6,3.172
34295,2022-04-26T12:14:16.870,COMPARISON,17.2,17.135
36610,2022-05-18T16:46:39.012,COMPARISON,139.8,3.941
34440,2022-04-26T19:10:01.729,DARK,1309.1,4.364
36172,2022-05-17T22:06:32.153,FLAT,6.6,3.297
36538,2022-05-18T14:10:54.188,COMPARISON,3.7,3.725
36294,2022-05-18T01:26:47.852,COMPARISON,7.2,3.608
34223,2022-04-25T16:52:45.817,COMPARISON,2.2,0.721
36454,2022-05-18T12:40:43.870,FLAT,5.4,5.335
36100,2022-05-17T19:30:55.408,COMPARISON,4.2,2.116
35544,2022-05-06T15:35:26.776,COMPARISON,2.7,0.341
34296,2022-04-26T12:15:16.682,COMPARISON,17.4,17.317
36173,2022-05-17T22:07:30.027,FLAT,6.6,3.314
36611,2022-05-18T16:48:11.977,COMPARISON,142.4,4.007
35936,2022-05-16T12:57:45.589,COMPARISON,6.0,1.99
36539,2022-05-18T14:11:51.479,COMPARISON,6.5,3.262
34368,2022-04-26T16:23:58.607,COMPARISON,44.2,2.944
34224,2022-04-25T16:53:47.552,COMPARISON,2.2,0.742
36295,2022-05-18T01:27:49.336,COMPARISON,7.3,3.635
36455,2022-05-18T12:41:43.875,FLAT,5.4,5.33
36101,2022-05-17T19:31:56.295,COMPARISON,17.7,2.211
34441,2022-04-26T19:15:57.921,DARK,1383.8,4.613
34297,2022-04-26T12:16:16.494,COMPARISON,17.4,17.299
35400,2022-05-02T12:48:42.520,COMPARISON,7.0,0.349
36174,2022-05-17T22:08:28.101,FLAT,6.5,3.266
35937,2022-05-16T12:58:47.696,COMPARISON,6.3,2.082
36612,2022-05-18T16:49:45.252,COMPARISON,137.9,3.888
34369,2022-04-26T16:25:13.610,COMPARISON,45.5,3.032
36296,2022-05-18T01:28:50.623,COMPARISON,7.1,3.538
34225,2022-04-25T16:54:49.382,COMPARISON,2.3,0.776
36456,2022-05-18T12:42:43.773,FLAT,5.2,5.158
36540,2022-05-18T14:12:52.274,COMPARISON,25.2,3.144
36102,2022-05-17T19:32:59.277,COMPARISON,2.2,2.209
35546,2022-05-06T15:37:27.354,COMPARISON,0.1,0.025
34298,2022-04-26T12:17:16.296,COMPARISON,17.4,17.448
36175,2022-05-17T22:09:25.979,FLAT,6.6,3.295
36613,2022-05-18T16:51:18.221,COMPARISON,137.5,3.876
34370,2022-04-26T16:26:28.511,COMPARISON,47.4,3.16
35938,2022-05-16T12:59:49.792,COMPARISON,6.4,2.137
36297,2022-05-18T01:32:06.875,COMPARISON,7.6,3.785
34226,2022-04-25T16:55:51.420,COMPARISON,2.3,0.768
36457,2022-05-18T12:43:43.875,FLAT,5.0,4.97
36103,2022-05-17T19:33:56.557,COMPARISON,4.5,2.24
36541,2022-05-18T14:13:55.566,COMPARISON,3.8,3.733
35547,2022-05-06T15:38:28.279,COMPARISON,3.1,0.39
24243,2021-01-25T08:31:41.276,DARK,485.5,48.55
34442,2022-04-26T19:21:54.143,DARK,1265.6,4.219
34299,2022-04-26T12:18:16.106,COMPARISON,17.3,17.201
36176,2022-05-17T22:10:23.968,FLAT,6.8,3.399
36614,2022-05-18T16:52:51.085,COMPARISON,137.1,3.867
34371,2022-04-26T16:27:43.806,COMPARISON,47.4,3.158
35939,2022-05-16T13:00:52.087,COMPARISON,6.5,2.17
36298,2022-05-18T01:33:08.073,COMPARISON,7.6,3.787
34227,2022-04-25T16:56:53.257,COMPARISON,2.4,0.786
36458,2022-05-18T12:44:44.085,FLAT,5.3,5.232
36104,2022-05-17T19:34:57.739,COMPARISON,17.7,2.206
36542,2022-05-18T14:14:52.864,COMPARISON,6.9,3.462
34300,2022-04-26T12:19:15.924,COMPARISON,17.6,17.451
35403,2022-05-02T12:51:56.573,COMPARISON,6.6,0.332
34443,2022-04-26T19:27:50.296,DARK,1154.4,3.848
36177,2022-05-17T22:11:21.852,FLAT,7.3,3.661
36615,2022-05-18T16:54:24.255,COMPARISON,139.2,3.925
35940,2022-05-16T13:01:54.277,COMPARISON,6.6,2.181
34372,2022-04-26T16:28:59.413,COMPARISON,46.2,3.077
36299,2022-05-18T01:34:09.266,COMPARISON,7.0,3.515
34228,2022-04-25T16:57:56.488,COMPARISON,2.6,0.865
36459,2022-05-18T12:45:44.193,FLAT,5.6,5.572
36105,2022-05-17T19:36:00.618,COMPARISON,2.2,2.202
36543,2022-05-18T14:15:53.769,COMPARISON,27.3,3.417
34301,2022-04-26T12:20:15.740,COMPARISON,17.5,17.37
35404,2022-05-02T15:55:42.196,COMPARISON,0.0,0.022
36178,2022-05-17T22:12:19.825,FLAT,7.3,3.663
34373,2022-04-26T16:30:13.718,COMPARISON,46.2,3.081
34444,2022-04-26T19:33:46.440,DARK,1177.6,3.925
36616,2022-05-18T16:55:57.228,COMPARISON,135.3,3.816
36300,2022-05-18T01:35:10.263,COMPARISON,7.1,3.537
34229,2022-04-25T16:58:58.517,COMPARISON,2.4,0.812
35332,2022-05-02T09:47:49.458,COMPARISON,0.0,0.017
36460,2022-05-18T12:46:44.196,FLAT,4.9,4.864
36106,2022-05-17T19:36:57.896,COMPARISON,4.2,2.081
36544,2022-05-18T14:16:56.862,COMPARISON,3.9,3.838
34302,2022-04-26T12:21:15.549,COMPARISON,17.5,17.377
36179,2022-05-17T22:13:17.703,FLAT,7.2,3.598
34374,2022-04-26T16:31:28.619,COMPARISON,45.4,3.03
36617,2022-05-18T16:57:30.308,COMPARISON,147.2,4.142
36301,2022-05-18T01:36:11.859,COMPARISON,8.1,4.045
36461,2022-05-18T12:47:44.102,FLAT,4.9,4.89
34230,2022-04-25T17:00:00.243,COMPARISON,2.5,0.821
34445,2022-04-26T19:39:42.848,DARK,1349.4,4.498
36107,2022-05-17T19:37:58.877,COMPARISON,17.9,2.234
36545,2022-05-18T14:17:54.256,COMPARISON,6.9,3.446
34303,2022-04-26T12:22:15.460,COMPARISON,17.3,17.217
36180,2022-05-17T22:14:15.576,FLAT,7.2,3.596
34375,2022-04-26T16:49:04.724,COMPARISON,44.8,2.989
36618,2022-05-18T16:59:03.396,COMPARISON,151.3,4.267
36302,2022-05-18T01:37:13.250,COMPARISON,6.9,3.456
36462,2022-05-18T12:48:44.117,FLAT,5.3,5.302
34231,2022-04-25T17:01:02.174,COMPARISON,2.3,0.772
35552,2022-05-06T15:43:58.427,COMPARISON,0.2,0.095
36108,2022-05-17T19:39:01.755,COMPARISON,2.2,2.194
36546,2022-05-18T14:18:55.146,COMPARISON,27.7,3.459
34304,2022-04-26T12:23:15.274,COMPARISON,17.3,17.153
34446,2022-04-26T19:45:39.825,DARK,1330.8,4.436
36181,2022-05-17T22:15:13.546,FLAT,7.1,3.551
34377,2022-04-26T17:11:09.840,COMPARISON,5.8,2.913
36619,2022-05-18T17:00:34.187,COMPARISON,41.6,5.555
35481,2022-05-06T09:06:23.166,COMPARISON,0.0,0.007
36303,2022-05-18T01:38:14.333,COMPARISON,7.1,3.551
36463,2022-05-18T12:49:44.141,FLAT,5.3,5.318
34232,2022-04-25T17:02:04.104,COMPARISON,2.5,0.841
35553,2022-05-06T15:44:59.051,COMPARISON,0.2,0.083
36109,2022-05-17T19:39:59.041,COMPARISON,4.4,2.214
36547,2022-05-18T14:20:12.242,COMPARISON,3.8,3.764
34305,2022-04-26T12:24:15.079,COMPARISON,17.5,17.387
34378,2022-04-26T17:15:34.802,COMPARISON,5.6,2.815
36182,2022-05-17T22:16:11.419,FLAT,7.4,3.713
34151,2022-04-15T13:01:18.262,TEST,0.0,0.0
36620,2022-05-18T17:01:39.375,COMPARISON,42.4,5.652
35482,2022-05-06T09:30:41.167,COMPARISON,16.1,0.403
36304,2022-05-18T01:39:15.605,COMPARISON,7.0,3.484
34233,2022-04-25T17:03:05.938,COMPARISON,2.3,0.77
36464,2022-05-18T12:50:44.059,FLAT,5.6,5.618
35554,2022-05-06T15:45:59.588,COMPARISON,0.2,0.093
36548,2022-05-18T14:21:11.840,COMPARISON,4.1,4.126
36110,2022-05-17T19:40:59.926,COMPARISON,17.5,2.191
34306,2022-04-26T12:25:14.889,COMPARISON,17.4,17.291
34447,2022-04-26T19:51:36.108,DARK,1301.9,4.34
36183,2022-05-17T22:17:09.399,FLAT,7.2,3.603
35966,2022-05-17T12:18:19.393,COMPARISON,7.2,2.398
36621,2022-05-18T17:02:44.362,COMPARISON,41.3,5.503
35483,2022-05-06T09:45:09.299,COMPARISON,0.5,0.154
34379,2022-04-26T17:20:36.567,COMPARISON,3.0,3.001
36305,2022-05-18T01:40:16.793,COMPARISON,7.2,3.596
34234,2022-04-25T17:04:07.664,COMPARISON,2.4,0.794
35555,2022-05-06T15:47:00.124,COMPARISON,0.3,0.136
36465,2022-05-18T12:51:44.376,FLAT,5.3,5.241
36549,2022-05-18T14:22:11.429,COMPARISON,3.7,3.66
36111,2022-05-17T19:42:16.695,COMPARISON,2.2,2.217
34307,2022-04-26T12:26:14.804,COMPARISON,17.4,17.304
34448,2022-04-26T19:57:32.268,DARK,1384.1,4.614
36184,2022-05-17T22:18:07.276,FLAT,7.3,3.646
36622,2022-05-18T17:03:49.346,COMPARISON,41.8,5.572
35967,2022-05-17T12:19:21.978,COMPARISON,7.2,2.387
35484,2022-05-06T09:46:08.616,COMPARISON,0.8,0.212
34380,2022-04-26T17:27:55.397,COMPARISON,79.1,3.164
36306,2022-05-18T01:41:18.080,COMPARISON,7.4,3.685
34235,2022-04-25T17:05:09.392,COMPARISON,2.4,0.793
35740,2022-05-10T14:50:49.654,COMPARISON,1.5,1.537
36466,2022-05-18T12:52:44.291,FLAT,5.2,5.168
36550,2022-05-18T14:23:11.112,COMPARISON,3.7,3.662
36112,2022-05-17T19:43:16.260,COMPARISON,2.2,2.168
34308,2022-04-26T12:27:14.615,COMPARISON,17.3,17.224
35836,2022-05-14T11:06:29.950,DARK,173.2,0.577
36185,2022-05-17T22:19:05.551,FLAT,7.3,3.644
36623,2022-05-18T17:04:54.520,COMPARISON,37.2,4.97
35968,2022-05-17T12:20:25.972,COMPARISON,7.3,2.446
34381,2022-04-26T17:36:29.999,COMPARISON,5.4,2.709
34236,2022-04-25T17:06:13.316,COMPARISON,2.4,0.801
36307,2022-05-18T01:42:19.468,COMPARISON,7.4,3.677
36467,2022-05-18T12:53:44.403,FLAT,5.0,4.935
36551,2022-05-18T14:24:25.408,COMPARISON,6.8,3.373
36113,2022-05-17T19:44:15.631,COMPARISON,2.2,2.145
34309,2022-04-26T12:28:14.524,COMPARISON,17.5,17.373
35837,2022-05-14T11:12:26.478,DARK,199.9,0.666
36186,2022-05-17T22:20:03.434,FLAT,7.3,3.637
35969,2022-05-17T12:21:28.670,COMPARISON,7.3,2.421
