visit,taiObs,dataType,scale,rate
81737,2022-11-11T18:59:33.055,COMPARISON,4.4,0.978
81452,2022-11-08T09:17:54.159,DARK,31.9,0.106
81659,2022-11-11T00:19:26.919,COMPARISON,3.9,0.869
81582,2022-11-10T08:26:45.370,COMPARISON,4.5,1.003
81482,2022-11-08T12:07:03.066,DARK,66.9,0.223
81695,2022-11-11T02:09:29.635,COMPARISON,4.6,1.025
81669,2022-11-11T00:28:47.865,COMPARISON,4.0,0.889
81638,2022-11-10T22:20:21.344,COMPARISON,4.5,0.992
81551,2022-11-10T02:31:00.822,COMPARISON,4.6,1.025
81442,2022-11-08T08:19:42.525,DARK,16.6,0.055
81561,2022-11-10T02:40:24.630,COMPARISON,4.7,1.04
81603,2022-11-10T17:33:49.885,COMPARISON,4.0,0.892
81716,2022-11-11T09:14:16.503,COMPARISON,4.1,0.919
81472,2022-11-08T11:08:50.192,DARK,41.5,0.138
81505,2022-11-09T21:50:05.536,COMPARISON,4.9,1.092
81617,2022-11-10T20:10:17.504,COMPARISON,4.2,0.928
81494,2022-11-09T00:39:49.170,COMPARISON,87.4,58.591
81660,2022-11-11T00:20:23.024,COMPARISON,3.9,0.861
81686,2022-11-11T02:00:02.233,COMPARISON,4.2,0.929
81483,2022-11-08T12:12:52.230,DARK,64.5,0.215
81583,2022-11-10T08:27:41.396,COMPARISON,4.5,1.009
81639,2022-11-10T22:21:17.364,COMPARISON,4.5,1.007
81453,2022-11-08T09:23:43.560,DARK,32.6,0.109
81738,2022-11-11T19:00:29.164,COMPARISON,4.4,0.973
81696,2022-11-11T02:10:25.645,COMPARISON,4.5,0.999
81552,2022-11-10T02:31:57.651,COMPARISON,4.8,1.075
81562,2022-11-10T03:38:05.686,COMPARISON,7.2,1.109
81604,2022-11-10T17:34:45.886,COMPARISON,4.0,0.881
81473,2022-11-08T11:14:39.450,DARK,44.4,0.148
81618,2022-11-10T20:11:13.596,COMPARISON,4.5,1.005
81443,2022-11-08T08:25:31.797,DARK,18.3,0.061
81506,2022-11-09T21:51:01.550,COMPARISON,4.8,1.068
81717,2022-11-11T09:15:12.602,COMPARISON,4.1,0.905
81495,2022-11-09T00:48:56.412,COMPARISON,0.6,0.096
81424,2022-11-08T01:39:09.615,FLAT,243.2,162.868
81661,2022-11-11T00:21:19.132,COMPARISON,3.9,0.869
81687,2022-11-11T02:00:58.333,COMPARISON,4.1,0.917
81584,2022-11-10T08:28:37.420,COMPARISON,4.5,0.992
81640,2022-11-10T22:22:13.682,COMPARISON,4.3,0.959
81484,2022-11-08T12:18:41.453,DARK,60.3,0.201
81454,2022-11-08T09:29:33.165,DARK,33.5,0.112
81739,2022-11-11T19:01:25.173,COMPARISON,4.2,0.929
81697,2022-11-11T02:11:22.347,COMPARISON,4.3,0.957
81619,2022-11-10T20:12:09.591,COMPARISON,4.3,0.952
81553,2022-11-10T02:32:53.683,COMPARISON,4.9,1.102
81574,2022-11-10T08:19:15.237,COMPARISON,4.6,1.014
81605,2022-11-10T17:35:41.987,COMPARISON,4.1,0.911
81474,2022-11-08T11:20:28.808,DARK,45.2,0.151
81718,2022-11-11T09:16:08.604,COMPARISON,4.1,0.903
81507,2022-11-09T21:51:57.670,COMPARISON,5.0,1.104
81444,2022-11-08T08:31:21.078,DARK,21.4,0.071
81425,2022-11-08T01:52:26.657,FLAT,1.2,0.778
81688,2022-11-11T02:01:54.337,COMPARISON,3.9,0.88
81662,2022-11-11T00:22:15.138,COMPARISON,4.0,0.886
81596,2022-11-10T17:27:17.071,COMPARISON,4.3,0.958
81641,2022-11-10T22:23:09.704,COMPARISON,4.5,1.009
81485,2022-11-08T12:24:30.597,DARK,62.3,0.208
81455,2022-11-08T09:35:22.226,DARK,36.0,0.12
81740,2022-11-11T19:02:21.181,COMPARISON,4.2,0.936
81698,2022-11-11T02:12:18.748,COMPARISON,4.2,0.944
81620,2022-11-10T20:13:05.691,COMPARISON,4.0,0.895
81554,2022-11-10T02:33:49.717,COMPARISON,4.7,1.058
81575,2022-11-10T08:20:11.246,COMPARISON,4.6,1.017
81606,2022-11-10T17:36:37.991,COMPARISON,4.2,0.929
81719,2022-11-11T09:17:04.705,COMPARISON,4.1,0.908
81475,2022-11-08T11:26:18.073,DARK,44.0,0.147
81508,2022-11-09T21:52:53.690,COMPARISON,4.6,1.032
