84574, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 03:55:41.959113
84574, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 03:55:48.08136
84575, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 04:01:58.00492
84575, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 04:01:57.841847
84575, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 04:02:04.16389
84576, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 04:07:53.454205
84576, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 04:07:53.389073
84576, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 04:07:59.634949
84577, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 04:13:48.928009
84577, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 04:13:48.860165
84577, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 04:13:55.080077
84578, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 04:19:44.339946
84578, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 04:19:44.307479
84578, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 04:19:50.451958
84580, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:01:10.00256
84580, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:01:10.003028
84580, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:01:16.118654
84581, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:02:05.388467
84581, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:02:05.275252
84581, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:02:11.581535
84582, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:03:05.761499
84582, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:03:05.750026
84582, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:03:11.913367
84583, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:04:01.257932
84583, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:04:01.131484
84583, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:04:07.377561
84584, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:04:56.560381
84584, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:04:56.507879
84584, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:05:02.737087
84585, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:05:51.946459
84585, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:05:51.980421
84585, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:05:58.096944
84586, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:06:47.43686
84586, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:06:47.454993
84586, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:06:53.553236
84587, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:07:42.628802
84587, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:07:42.532251
84587, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:07:48.807737
84588, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:08:38.12096
84588, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:08:38.188766
84588, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:08:44.26644
84589, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:09:33.512709
84589, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:09:33.558505
84589, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:09:39.627816
84590, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:10:28.900408
84590, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:10:28.929001
84590, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:10:35.093436
84591, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:11:24.28971
84591, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:11:24.29717
84591, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:11:30.444711
84592, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:12:19.809582
84592, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:12:19.761632
84592, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:12:25.902611
84593, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:13:15.281947
84593, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:13:15.127073
84593, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:13:21.361312
84594, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:14:11.972846
84594, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:14:11.89905
84594, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:14:18.11403
84595, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:21:07.302978
84595, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:21:07.408016
84595, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:21:13.535923
84596, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:28:02.788418
84596, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:28:02.811065
84596, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:28:08.933426
84597, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:34:58.357518
84597, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:34:58.42495
84597, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:35:04.499228
84598, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:41:53.757203
84598, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:41:53.812757
84598, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:41:59.9769
84599, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:48:48.968494
84599, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:48:49.021907
84599, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:48:55.167324
84600, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 08:55:44.379026
84600, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 08:55:44.336111
84600, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 08:55:50.553051
84601, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:02:39.92044
84601, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:02:39.953327
84601, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:02:46.154443
84602, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-04 09:09:35.254626
84602, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-04 09:09:35.328382
84602, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-04 09:09:41.484702
