pfs_visit_id,arm,sps_module_id,pfs_design_id,time_exp_start
81409,r,1,3321740684305323305,2022-11-01 00:16:33.983771
81409,b,1,3321740684305323305,2022-11-01 00:16:33.983771
81410,r,1,3321740684305323305,2022-11-01 00:37:29.31403
81410,b,1,3321740684305323305,2022-11-01 00:37:29.31403
81411,r,1,3321740684305323305,2022-11-01 00:58:24.550202
81411,b,1,3321740684305323305,2022-11-01 00:58:24.550202
81413,m,3,-9999,2022-11-07 11:25:18.211826
81414,m,3,-9999,2022-11-07 11:26:36.692054
81415,b,3,-9999,2022-11-07 11:44:16.267143
81416,b,3,-9999,2022-11-07 11:45:33.242454
81418,b,3,-9999,2022-11-07 12:45:32.665277
81420,b,3,-9999,2022-11-07 13:02:25.853645
81422,r,3,-9999,2022-11-07 14:02:47.443428
81423,r,3,-9999,2022-11-07 14:09:35.456316
81424,b,3,-9999,2022-11-07 15:39:09.983252
81424,r,3,-9999,2022-11-07 15:39:09.983252
81425,b,3,-9999,2022-11-07 15:52:27.023626
81425,r,3,-9999,2022-11-07 15:52:27.023626
81426,b,3,-9999,2022-11-07 22:01:55.393906
81426,r,3,-9999,2022-11-07 22:01:55.521888
81427,b,3,-9999,2022-11-07 22:04:50.314919
81427,r,3,-9999,2022-11-07 22:04:50.416225
81428,b,3,-9999,2022-11-07 22:05:39.536998
81428,r,3,-9999,2022-11-07 22:05:39.42781
81429,b,3,-9999,2022-11-07 22:06:31.3581
81429,r,3,-9999,2022-11-07 22:06:31.433789
81430,b,3,-9999,2022-11-07 22:07:20.374855
81430,r,3,-9999,2022-11-07 22:07:20.447847
81431,b,3,-9999,2022-11-07 22:08:09.692853
81431,r,3,-9999,2022-11-07 22:08:09.657184
81432,b,3,-9999,2022-11-07 22:08:58.912543
81432,r,3,-9999,2022-11-07 22:08:58.962854
81433,b,3,-9999,2022-11-07 22:09:48.129319
81433,r,3,-9999,2022-11-07 22:09:48.268928
81434,b,3,-9999,2022-11-07 22:10:37.245951
81434,r,3,-9999,2022-11-07 22:10:37.265725
81435,b,3,-9999,2022-11-07 22:11:26.363606
81435,r,3,-9999,2022-11-07 22:11:26.467551
81436,b,3,-9999,2022-11-07 22:12:15.588959
81436,r,3,-9999,2022-11-07 22:12:15.569931
81437,b,3,-9999,2022-11-07 22:13:04.713657
81437,r,3,-9999,2022-11-07 22:13:04.768617
81438,b,3,-9999,2022-11-07 22:13:53.939858
81438,r,3,-9999,2022-11-07 22:13:53.96872
81439,b,3,-9999,2022-11-07 22:14:43.376666
81439,r,3,-9999,2022-11-07 22:14:43.375038
81440,b,3,-9999,2022-11-07 22:15:32.51039
81440,r,3,-9999,2022-11-07 22:15:32.58047
81441,b,3,-9999,2022-11-07 22:16:21.844923
81441,r,3,-9999,2022-11-07 22:16:21.889659
81442,b,3,-9999,2022-11-07 22:17:13.477787
81442,r,3,-9999,2022-11-07 22:17:13.389925
81443,b,3,-9999,2022-11-07 22:23:02.647569
